Trial,Word,Color,Correct_Key,Response,RT,Correct,Timestamp,ITI
1,red,green,down,None,1.5,0,2025-02-25_10:20:04:404156,1.1
2,red,blue,right,None,1.5,0,2025-02-25_10:20:05:532910,1.418
3,red,blue,right,None,1.5,0,2025-02-25_10:20:06:971450,1.315
4,blue,red,left,left,0.6985742000397295,1,2025-02-25_10:20:08:323232,1.371
5,green,green,down,down,0.5361017000395805,1,2025-02-25_10:20:09:715755,1.231
6,green,blue,right,right,0.7374787000007927,1,2025-02-25_10:20:10:957096,1.268
7,red,green,down,down,0.7361868000589311,1,2025-02-25_10:20:12:233286,1.419
8,green,green,down,right,0.46407680003903806,0,2025-02-25_10:20:13:671306,1.388
9,green,blue,right,right,0.6597443000646308,1,2025-02-25_10:20:15:079917,1.475
10,green,red,left,left,0.7144589999224991,1,2025-02-25_10:20:16:574898,1.6280000000000001
11,red,blue,right,None,1.5,0,2025-02-25_10:20:18:217668,1.673
12,red,green,down,down,0.7961106000002474,1,2025-02-25_10:20:19:909985,1.56
13,blue,blue,right,right,0.5892593999160454,1,2025-02-25_10:20:21:484562,1.126
14,green,red,left,None,1.5,0,2025-02-25_10:20:22:622262,1.465
15,green,blue,right,right,0.8297397000715137,1,2025-02-25_10:20:24:113072,1.175
16,green,red,left,left,0.7514146999455988,1,2025-02-25_10:20:25:301390,1.548
17,green,green,down,down,0.5165236999746412,1,2025-02-25_10:20:26:860496,1.115
18,blue,green,down,down,0.5920552000170574,1,2025-02-25_10:20:27:986684,1.528
19,blue,blue,right,right,0.556596799986437,1,2025-02-25_10:20:29:533686,1.6800000000000002
20,red,green,down,down,0.6072862999280915,1,2025-02-25_10:20:31:227513,1.6440000000000001
21,green,red,left,left,0.6897625999990851,1,2025-02-25_10:20:32:883240,1.397
22,green,green,down,down,0.6181980000110343,1,2025-02-25_10:20:34:295078,1.099
23,red,blue,right,right,0.7250881000654772,1,2025-02-25_10:20:35:406279,1.186
24,green,blue,right,down,0.752613199991174,0,2025-02-25_10:20:36:605769,1.1360000000000001
25,red,green,down,None,1.5,0,2025-02-25_10:20:37:755756,1.471
26,green,red,left,None,1.5,0,2025-02-25_10:20:39:251908,1.6720000000000002
27,red,green,down,down,0.7878912000451237,1,2025-02-25_10:20:40:942943,1.111
28,green,blue,right,right,0.824465399957262,1,2025-02-25_10:20:42:068952,1.646
29,red,blue,right,None,1.5,0,2025-02-25_10:20:43:727984,1.491
30,blue,red,left,left,0.7381083000218496,1,2025-02-25_10:20:45:243265,1.5390000000000001
31,red,blue,right,right,0.9663536999141797,1,2025-02-25_10:20:46:796237,1.411
32,red,blue,right,right,0.6598759000189602,1,2025-02-25_10:20:48:216064,1.422
33,blue,blue,right,right,0.7247443000087515,1,2025-02-25_10:20:49:654658,1.588
34,blue,blue,right,right,0.6069072999525815,1,2025-02-25_10:20:51:252315,1.504
35,red,blue,right,right,0.407887400011532,1,2025-02-25_10:20:52:770000,1.175
