Trial,Word,Color,Correct_Key,Response,RT,Correct,Timestamp,ITI
117,green,blue,right,right,0.5244831000454724,1,2025-02-25_09:45:57:139590,1.274
118,red,red,left,left,0.5433545999694616,1,2025-02-25_09:45:58:430304,1.292
119,red,green,down,down,0.5682807000121102,1,2025-02-25_09:45:59:739613,1.6800000000000002
120,blue,blue,right,right,0.3938422999344766,1,2025-02-25_09:46:01:436842,1.178
121,red,green,down,right,0.4366808000486344,0,2025-02-25_09:46:02:622404,1.5510000000000002
122,blue,blue,right,right,0.6982084000483155,1,2025-02-25_09:46:04:190137,1.292
123,red,green,down,down,0.953801600029692,1,2025-02-25_09:46:05:491935,1.637
124,blue,red,left,left,0.5149297000607476,1,2025-02-25_09:46:07:141795,1.4849999999999999
125,green,blue,right,right,0.6593094000127167,1,2025-02-25_09:46:08:633704,1.363
126,red,green,down,down,0.5228764999192208,1,2025-02-25_09:46:10:009483,1.588
127,red,green,down,down,0.45087629999034107,1,2025-02-25_09:46:11:614219,1.492
128,red,green,down,down,0.36154970002826303,1,2025-02-25_09:46:13:123674,1.479
129,blue,red,left,left,0.4678830000339076,1,2025-02-25_09:46:14:616053,1.667
130,red,red,left,left,0.5611679999856278,1,2025-02-25_09:46:16:295093,1.3940000000000001
131,green,green,down,down,0.5996809999924153,1,2025-02-25_09:46:17:696728,1.139
132,red,green,down,down,0.5615513999946415,1,2025-02-25_09:46:18:846024,1.69
133,blue,red,left,left,0.6016780000645667,1,2025-02-25_09:46:20:551327,1.334
134,green,red,left,left,0.48679370002355427,1,2025-02-25_09:46:21:898556,1.537
135,blue,blue,right,right,0.5178602000232786,1,2025-02-25_09:46:23:448416,1.4689999999999999
136,green,blue,right,right,0.5172786000184715,1,2025-02-25_09:46:24:932957,1.55
137,green,blue,right,right,0.5732504000188783,1,2025-02-25_09:46:26:497094,1.5150000000000001
138,green,red,left,left,0.6349554999032989,1,2025-02-25_09:46:28:025510,1.206
139,blue,red,left,left,0.5464982999255881,1,2025-02-25_09:46:29:247007,1.169
140,red,blue,right,down,0.5623900999780744,0,2025-02-25_09:46:30:427075,1.544
141,blue,blue,right,right,0.6334010999416932,1,2025-02-25_09:46:31:986730,1.3719999999999999
142,red,blue,right,right,0.45231399999465793,1,2025-02-25_09:46:33:371730,1.2690000000000001
143,red,red,left,left,0.5231064999243245,1,2025-02-25_09:46:34:658659,1.5310000000000001
144,green,green,down,down,0.5677206999389455,1,2025-02-25_09:46:36:208949,1.5510000000000002
145,green,green,down,down,0.4696323999669403,1,2025-02-25_09:46:37:770226,1.437
146,blue,green,down,down,0.39692850003484637,1,2025-02-25_09:46:39:222056,1.316
147,blue,blue,right,left,0.4738038000650704,0,2025-02-25_09:46:40:550936,1.649
148,blue,blue,right,right,0.5332689998904243,1,2025-02-25_09:46:42:214864,1.595
149,blue,blue,right,right,0.46340399992186576,1,2025-02-25_09:46:43:817480,1.388
150,blue,red,left,left,0.49060589994769543,1,2025-02-25_09:46:45:213316,1.446
151,green,blue,right,right,0.5148106999695301,1,2025-02-25_09:46:46:671699,1.172
152,green,blue,right,right,0.5178419000003487,1,2025-02-25_09:46:47:853659,1.414
153,green,blue,right,right,0.6027560998918489,1,2025-02-25_09:46:49:277071,1.099
154,red,blue,right,right,0.6554431000258774,1,2025-02-25_09:46:50:384289,1.524
155,red,blue,right,right,0.4021739000454545,1,2025-02-25_09:46:51:923172,1.669
156,green,blue,right,right,0.4207654999336228,1,2025-02-25_09:46:53:607506,1.38
157,blue,green,down,down,0.7036627000197768,1,2025-02-25_09:46:55:002408,1.528
158,green,red,left,left,0.5904516999144107,1,2025-02-25_09:46:56:538401,1.468
159,blue,green,down,left,0.6951581001048908,0,2025-02-25_09:46:58:014875,1.645
160,blue,red,left,None,1.5,0,2025-02-25_09:46:59:670633,1.321
161,blue,red,left,left,0.4509635999565944,1,2025-02-25_09:47:01:010309,1.127
162,green,green,down,down,0.6245689999777824,1,2025-02-25_09:47:02:147159,1.533
163,red,green,down,down,0.510044900001958,1,2025-02-25_09:47:03:692884,1.1360000000000001
164,red,blue,right,right,0.5946117000421509,1,2025-02-25_09:47:04:848608,1.088
165,green,blue,right,right,0.5450629000551999,1,2025-02-25_09:47:05:951085,1.342
166,blue,green,down,down,0.8386928000254557,1,2025-02-25_09:47:07:301479,1.557
167,green,red,left,left,0.484612499945797,1,2025-02-25_09:47:08:873296,1.246
168,red,green,down,down,0.5138414000393823,1,2025-02-25_09:47:10:132774,1.301
169,green,blue,right,right,0.5307605999987572,1,2025-02-25_09:47:11:443737,1.226
